Vernier Format 2
Untitled.cmbl 1/23/2020 13:24:14 .
Latest
Time	Temperature
t	Temp
s	°C

0	20.3453440439
1	20.3218252978
2	20.3218252978
3	20.2983036936
4	20.2983036936
5	20.2983036936
6	20.2983036936
7	20.2983036936
8	20.3218252978
9	20.3218252978
10	20.3218252978
11	20.3218252978
12	20.3218252978
13	20.3218252978
14	20.3218252978
15	20.3218252978
16	20.2983036936
17	20.3218252978
18	20.3218252978
19	20.3218252978
20	20.3218252978
21	20.3218252978
22	20.3218252978
23	20.2983036936
24	20.3218252978
25	20.3218252978
26	20.2983036936
27	20.3218252978
28	20.3218252978
29	20.3218252978
30	20.3218252978
31	20.2983036936
32	20.3218252978
33	20.3218252978
34	20.3218252978
35	20.3218252978
36	20.3218252978
37	20.3218252978
38	20.3218252978
39	20.3218252978
40	20.3218252978
41	20.3218252978
42	20.3218252978
43	20.3218252978
44	20.3218252978
45	20.3453440439
46	20.3218252978
47	20.3218252978
48	20.3453440439
49	20.2983036936
50	20.1571133106
51	20.0393736334
52	19.9686937249
53	19.8979862981
54	19.8744109781
55	19.8272509908
56	19.8036662965
57	19.8036662965
58	19.7800784505
59	19.7800784505
60	19.7564874392
61	19.7564874392
62	19.7564874392
63	19.7564874392
64	19.7564874392
65	19.7328932492
66	19.7564874392
67	19.7564874392
68	19.7328932492
69	19.7328932492
70	19.7328932492
71	19.7564874392
72	19.7328932492
73	19.7564874392
74	19.7328932492
75	19.7328932492
76	19.7328932492
77	19.7564874392
78	19.7564874392
79	19.7328932492
80	19.7328932492
81	19.7328932492
82	19.7564874392
83	19.7564874392
84	19.7564874392
85	19.7564874392
86	19.7564874392
87	19.7328932492
88	19.7328932492
89	19.7564874392
90	19.7564874392
91	19.7564874392
92	19.7328932492
93	19.7564874392
94	19.7564874392
95	19.7564874392
96	19.7564874392
97	19.7564874392
98	19.7564874392
99	19.7564874392
100	19.7564874392
101	19.7564874392
102	19.7564874392
103	19.7564874392
104	19.7564874392
105	19.7564874392
106	19.7564874392
107	19.7328932492
Vernier Format 2
Untitled.cmbl 1/23/2020 13:24:14 .
Latest 2
Time	Temperature
t	Temp
s	°C

 	 
Vernier Format 2
Untitled.cmbl 1/23/2020 13:24:14 .
Latest 3
Time	Temperature
t	Temp
s	°C

 	 
Vernier Format 2
Untitled.cmbl 1/23/2020 13:24:14 .
Latest 4
Time	Temperature
t	Temp
s	°C

 	 
